label,Entity,ORCID
Elizabeth Wenk,https://orcid.org/0000-0001-5640-5910,'0000-0001-5640-5910'
Hervé Sauquet,https://orcid.org/0000-0001-8305-3236,'0000-0001-8305-3236'
Lydia Guja,https://orcid.org/0000-0001-5945-438X,'0000-0001-5945-438X'
Ian J. Wright,https://orcid.org/0000-0001-8338-9143,'0000-0001-8338-9143'
Lily Dun,https://orcid.org/0000-0002-0712-5143,0000-0002-0712-5143'
Carl Gosper,https://orcid.org/0000-0002-0962-5117,'0000-0002-0962-5117'
David Coleman,https://orcid.org/0000-0002-1773-6597,'0000-0002-1773-6597'
Mark Ooi,https://orcid.org/0000-0002-3046-0417,'0000-0002-3046-0417'
Rachael Gallagher,https://orcid.org/0000-0002-4680-8115,'0000-0002-4680-8115'
Gregory J. Jordan,https://orcid.org/0000-0002-6033-2766,'0000-0002-6033-2766'
Daniel Falster,https://orcid.org/0000-0002-9814-092X,'0000-0002-9814-092X'
Karen D. Sommerville,https://orcid.org/0000-0002-9843-6616,'0000-0002-9843-6616'
Russell Barrett,https://orcid.org/0000-0003-0360-8321,'0000-0003-0360-8321'
Patricia Lu-Irving,https://orcid.org/0000-0003-1116-9402,'0000-0003-1116-9402'
Peter Vesk,https://orcid.org/0000-0003-2008-7062,'0000-0003-2008-7062'
Andy Leigh,https://orcid.org/0000-0003-3568-2606,'0000-0003-3568-2606'
Ruby Stephens,https://orcid.org/0000-0002-3767-2690,0000-0002-3767-2690'
Félix de Tombeur,https://orcid.org/0000-0002-6012-8458,0000-0002-6012-8458
